福州浩威金属制品有限公司	总经理：胡英	地址：福建闽侯县兰圃工业区318号
闽侯县上街陈弟云眼镜店	老板：陈先生	地址：闽侯县上街镇大学城蔗洲村2号地商业网点第贰幢第壹层第20号店面
闽侯县上街碧祥建材贸易经营部	老板：赵先生	地址：闽侯县上街镇红峰村沙墩文明村南起第二直
闽侯县甘蔗一剪缘理发店	老板：张先生	地址：闽侯县甘蔗街道昙石山中大道118号新城丽景A区8#楼103店面
闽侯县甘蔗俏华粮油店	老板：陈先生	地址：闽侯县甘蔗街道化龙村亭下街
闽侯县甘蔗邹爱玉服装店	老板：邹先生	地址：闽侯县甘蔗镇入城路北侧101号
闽侯县天仪殡葬服务有限公司	总经理：林先生	地址：闽侯县尚干镇红新村红门
福建省闽侯县同心养蜂专业合作社	联系人：黄先生	地址：福建省闽侯县南屿镇新联村?上42号
闽侯县宏利物业有限公司	总经理：吴先生	地址：闽侯县青口镇东南汽车城后福工业区（闽侯县宏利金属制品有限公司）
中石化森美（福建）石油有限公司福州闽侯乌门加油站	站长：郑先生	地址：福州市闽侯县尚干镇乌门村省道203线30公里800米
福州福勇达工艺品有限公司	总经理：林先生	地址：闽侯县上街镇新峰村
闽侯县睿哲贸易有限公司	总经理：王先生	地址：闽侯县上街镇岐安村岐安花园31-5整座
福建安康工伤保险事务有限公司	总经理：王先生	地址：闽侯县上街镇新街8号楼三楼（镇对面）
闽侯县南屿宋友祥纺织配件加工场	联系人：宋先生	地址：闽侯县南屿镇江口九石
福建宝嘉霖投资有限公司	总经理：李先生	地址：闽侯县甘蔗街道昙石山西大道69号员工公寓29#502
福州市旺中旺工艺品有限公司	总经理：林旺先生	地址：闽侯县上街镇上街镇美岐村美前
福州汝惠工艺品有限公司	总经理：赵汝惠	地址：闽侯县上街镇沙堤村后街35号
福州市弥勒汇工艺品有限公司	总经理：陈春燕	地址：闽侯县上街镇建平村
福州飞麟工艺品有限公司	总经理：陈如林	地址：闽侯县上街镇中美村仁宅
福州新安德鲁森食品有限公司闽侯福大分店	老板：雷东隆	地址：福州市闽侯县上街镇福州大学旗山校区西教学楼（闽侯县上街师生便利店西教分店）
闽侯县温泉胡子鲶苗种专业合作社	联系人：黄道枫	地址：闽侯县甘蔗街道坛石村
闽侯县舞明昕文化发展有限公司	总经理：林先生	地址：闽侯县祥谦镇泮洋村大?63号
福州鑫宏锋金属制品有限公司	总经理：李剑锋	地址：福州市闽侯县青口镇前洋村（福州青龙农业水产综合有限公司）内
福州市杰盛隆贸易有限公司	总经理：林伙士	地址：闽侯县祥谦镇兰圃村
福建永达物流有限公司	总经理：林财先生	地址：闽侯县尚干镇过浦村马路线22公里处二层
闽侯县千盈制衣有限公司	总经理：叶雪英	地址：闽侯县上街镇新峰村梧洋2#5幢
福州市忠盛塑胶制品有限公司	总经理：陈新忠	地址：闽侯县青口镇祥青路39号4#厂房
福州金帆鞋业有限公司	总经理：陈艳先生	地址：闽侯县青口镇祥青路39号
福州宝明达金属材料有限公司	总经理：陈明先生	地址：闽侯县青口镇宏二村
闽侯县金奎山果蔬种植专业合作社	联系人：陈锦铿	地址：闽侯县青口镇坊口八斗新村
福州隆博进出口贸易有限公司	总经理：方孝强	地址：闽侯县南通镇方庄南路45号
福州好佳餐饮有限公司	总经理：刘海燕	地址：闽侯县荆溪镇桐口村
福州艺群工艺品有限公司	总经理：林光锋	地址：闽侯县荆溪镇荆溪村6#（福州艺泉工艺品有限公司内）
闽侯县柴火房美食会所	所长：杨俊先生	地址：闽侯县荆溪镇厚屿小桥村路段南侧新甘洪路旁（厚屿小桥老人会1-3层）
福州利天下粮油贸易有限公司	总经理：陈明照	地址：闽侯县荆溪镇福州市粮食批发交易市场12座9号
闽侯县盛美家居饰品有限公司	总经理：周伯魁	地址：闽侯县甘蔗街道县城新区世纪芳洲住宅小区7#楼405单元
福建省宇浩建设工程有限公司	总经理：罗性魁	地址：闽侯县甘蔗街道县城新区“世纪芳洲”住宅小区1#乙103号房
闽侯县甘蔗峰香五金店	老板：黄先生	地址：闽侯县甘蔗街道员工公寓5#D-10店铺
闽侯县尚干淘江大酒楼	联系人：陈先生	地址：闽侯县尚干镇红新村尚南路70号一层至二层
闽侯县青口兴宏汽车配件仓储处	联系人：林先生	地址：闽侯县青口镇文华村积善路29号
福州海峡副食品批发市场滨海商行	联系人：陈先生	地址：闽侯县南通镇海峡副食品批发市场2173号店
闽侯县南通三科林茶叶店	老板：陈先生	地址：闽侯县南通街陈厝村卫星69号4#厂房整座
闽侯县鸿尾鑫涵通讯器材商行	联系人：黄先生	地址：闽侯县鸿尾乡超乾村石佛头街
闽侯县鸿尾漂亮宝贝理发店	老板：林先生	地址：闽侯县鸿尾乡石佛头街红星桥61-63号
闽侯县南通蓝金服装店	老板：陈先生	地址：闽侯县南通镇陈厝村
闽侯县南通腾兴便利店	老板：陈先生	地址：闽侯县南通镇马腾村
闽侯县甘蔗可爱小天使童装店	老板：吴先生	地址：闽侯县甘蔗街道街心路41号沿街底层16号店面
福州海峡副食品批发市场大康食品商行	联系人：姚先生	地址：闽侯县南通镇海峡副食品批发市场2149店
闽侯县甘蔗净美洗涤服务部	老板：洪先生	地址：闽侯县甘蔗街道山前村135号整座
闽侯县尚干增明兽药店	老板：林先生	地址：闽侯县尚干镇桥头（洋中村）
福州闽侯雪旗生态农业发展有限公司	总经理：何开杰	地址：闽侯县南屿镇旗山万佛寺
福建省榕佳建设工程有限公司	总经理：杨敏先生	地址：闽侯县甘蔗街道昙石山西大道69号员工公寓32幢501-503单元
闽侯县泰宝山农林专业合作社	联系人：刘用斌	地址：闽侯县洋里乡安仁村安仁134号
福州市维新达生物科技有限公司	总经理：蒋维先生	地址：福州市闽侯县上街镇科技东路"海西高新技术产业园"创新园10号楼1层
福州古洋苗木有限公司	总经理：罗道伟	地址：闽侯县鸿尾乡大模村洋中74号
福建省科皇工贸有限公司	总经理：黄一岷	地址：闽侯县荆溪镇荆溪村徐家村93-1号车间整座
闽侯县竹岐旺达养殖场	联系人：林昌旺	地址：闽侯县竹岐乡湖后地区
闽侯县吉祥溪生态农业综合开发有限公司	总经理：苏庄华	地址：闽侯县竹岐乡半岭村
闽侯县润丰农业开发有限公司	总经理：季权先生	地址：闽侯县洋里乡刘洋村
福建春宇机械有限公司	总经理：黄星先生	地址：闽侯县祥谦镇洋辅路6号3#厂房
闽侯县牛栏道果蔬专业合作社	联系人：陈彬贤	地址：闽侯县青口镇坊口村八斗新村
福建宏亨建设工程集团有限公司闽侯分公司	总经理：施好弟	地址：闽侯县荆溪镇人民政府干部楼
闽侯县友道农业专业合作社	联系人：徐道峰	地址：闽侯县荆溪镇荆溪村徐家村
闽侯县燕飞林农业专业合作社	联系人：吴木林	地址：闽侯县鸿尾乡桥头村23-3号整座
福州有伦生态农业有限公司	总经理：毛有仓	地址：闽侯县鸿尾乡南坑村
福州学量贸易有限公司	总经理：陈学量	地址：闽侯县鸿尾乡鸿尾村（郑武镇）整座
闽侯县鸿安纸制品厂	厂长：余木淼	地址：闽侯县鸿尾乡安樟村石坑洋8号
闽侯丫霸文化传播有限公司	总经理：周丕禄	地址：闽侯县甘蔗街道昙石新村19座2单元1层
闽侯县邑府装饰设计工程有限公司	总经理：张良敏	地址：闽侯县甘蔗街道八一八西路86号
闽侯县钻石人生娱乐有限公司	总经理：黄兰珍	地址：闽侯县白沙镇安平路88号白沙新城商贸中心三层
江阴万奇内饰系统有限公司闽侯分公司	总经理：CHERRY CHU	地址：福州市闽侯县青口镇东南大道1号
中化（福建）石油销售有限公司闽侯尚干加油站	站长：谢先生	地址：闽侯县尚干镇大桥头国道324线21公里700米
福州友隆设备检测有限公司	总经理：林先生	地址：闽侯县南屿镇五都村3层整座
闽侯县鸿尾乡徐云平林果场	联系人：徐先生	地址：闽侯县鸿尾乡埕头村桥头山
闽侯县洋里新风花圃场	联系人：林先生	地址：闽侯县洋里乡际兜村山坪顶
闽侯县上街天同气体店	老板：赵先生	地址：闽侯县上街镇金屿村余盛口
福州和靖工艺品有限公司	总经理：王先生	地址：闽侯县荆溪镇荆溪村（福州宏凯新型墙材有限公司内）
闽侯县青口心意婚姻服务部	老板：林先生	地址：闽侯县青口镇农光村新城路博雅星城泊园1#207
闽侯县精舍饰界家居有限公司	总经理：林先生	地址：闽侯县甘蔗街道县城新区世纪芳洲住宅小区7#楼405单元
福州蓝帆印务有限公司闽侯县分公司	总经理：林先生	地址：闽侯县南屿镇天水岭1号
福建省嘉成生物科技有限公司	总经理：王先生	地址：闽侯县青口镇东台村
长乐华成钢结构建筑有限公司闽侯县分公司	总经理：陈先生	地址：闽侯县祥谦镇门口村
福州市隆?劳务服务有限公司	总经理：杨先生	地址：闽侯县青口镇壶山村陶精路3号“千家花园”1#楼店面30号
福州市影讯文化传播有限公司	总经理：叶先生	地址：闽侯县上街镇沙堤村国宾大道
福州春福种业有限公司	总经理：李先生	地址：福州市闽侯县上街镇源通东路59号尚书耕天下花园3#楼1008单元
闽侯县沃家家居用品有限公司	总经理：林先生	地址：闽侯县甘蔗街道长江村墩园洲
闽侯县兴隆盛农业专业合作社	联系人：陈先生	地址：闽侯县鸿尾乡南元村后洋34号
闽侯县南屿福泰家具厂	厂长：林先生	地址：闽侯县南屿镇窗夏村窗前
福州市启明木艺经营部	成立日期：2000/9/2	地址：中国.福建省.福州市.闽侯县
古木年华股份有限公司	总经理：林幼华	地址：福州闽侯县上街镇建平村岐安新村花园11-7
福建壹印象传媒有限公司	总经理：缪经理	地址：福建省福州市闽侯县大学城博士后家园2# 101
福州永芳玻璃工艺品有限公司	总经理：潘永松	地址：闽侯县鸿尾
福州福盛汽车配件有限公司	成立日期：2007/7/17	地址：中国.福建省.福州市.闽侯县青口镇村里村
福建朗正通信科技有限公司	成立日期：2008/8/8	地址：福建省福州市闽侯县荆溪镇甘洪路168号
福建老根根雕厂	成立日期：2001/1/1	地址：福州市闽侯县上街镇博士后家园07-01展厅
花木兰木雕厂	厂长：郭桂兰	地址：福建省福州市闽侯县上街镇建平村
福州新达混凝土外加剂有限公司	总经理：李建奇	地址：福建省福州市闽侯县青口镇青秀村旦元下
福州?狮润滑油有限公司	总经理：林高文	地址：闽侯县上街镇竹歧乡苏洋村国宾大道616号勃莱特工业园
福州市老树根雕有限公司	总经理：叶浩	地址：福建省福州市闽侯县上街镇
福州华夏龙德工艺品有限公司	总经理：陈繁荣	地址：福建省 福州市 闽侯县 南屿镇大屿香颂2-18#
花木兰木雕工艺厂	成立日期：2009/9/21	地址：福建省福州市闽侯县上街镇建平村
福州闽侯建忠特种鱼苗有限公司	总经理：欧阳建忠	地址：福建省福州市闽侯县竹歧乡
以达鞋业有限公司	总经理：钟礼镇	地址：福州市闽侯县南屿镇元峰路口
福州益丰源赠品制造有限公司	总经理：吴祥光	地址：中国.福建省.福州市.闽侯县福建福州西门外厚屿187号
福建闽侯盛艺工艺品有限公司	成立日期：2001/1/1	地址：中国.福建省.福州市.闽侯县闽侯详谦镇洋下村三股29号
闽侯县维美达装饰品有限公司	总经理：陈峰	地址：中国.福建省.福州市.闽侯县甘蔗镇陈店湖工业区
福建省神安建材有限公司	总经理：雷光森	地址：中国.福建省.福州市.闽侯县
闽侯县中泰玻璃纺纱有限公司	总经理：黄开纯	地址：中国 福建 闽侯县 福建省闽侯县大湖乡珍山工业区
福州老树根雕有限公司	总经理：叶浩	地址：福建省福州闽侯县上街镇
福州丰雅进工艺品有限公司	总经理：罗晴	地址：福建省闽侯县竹歧乡苏洋村（厂址）福州东街三山大厦南楼2205（市区办事处）
福建省闽侯荆溪小桥漆器厂	成立日期：1988/11/22	地址：中国.福建省.福州市.闽侯县
闽侯县宇浩红木家居有限公司	总经理：叶明顺	地址：中国福建福州闽侯县甘蔗街道青岐村188号
福州佳云工艺品有限公司	总经理：钟宙清	地址：中国.福建省.福州市.闽侯县福建省福州市闽侯县甘蔗镇三福小区2路11号
福州安泰木业有限公司	总经理：包天生	地址：福州市闽侯县115县道绿洲家园旁
台合工贸(厦门公司)	成立日期：2000/2/2	地址：福州市闽侯县青口镇东南汽车对面
闽侯金亮利工艺品厂	成立日期：2013/4/17	地址：闽侯县福州南屿新区葛岐村130号
福建梅玲玩具科技有限公司	成立日期：2011/5/24	地址：闽侯县大湖乡韩坂88号
福州益丰源织带有限公司	总经理：吴祥光	地址：中国.福建省.福州市.闽侯县荆溪镇厚屿187号
福州上豪五金贸易有限公司	总经理：陈玄基	地址：闽侯县青口投资区文华村白水路(六和对面，华萱厂内)
福州市闽赣园钉制造有限公司	总经理：李金龙	地址：中国.福建省.福州市.闽侯县永丰村汽车教练旁
福建省闽侯县三友纺织厂	厂长：宋经纬	地址：福建闽侯县南屿镇江口
福建闽侯红木家具有限公司	成立日期：1998/8/11	地址：福建省福州市闽侯县荆溪镇关口工业区272号
泛亚窗帘轨道厂	厂长：叶似英	地址：中国.福建省.福州市.闽侯县白沙镇长坪园3号
闽侯双益纺织厂	成立日期：2000/8/3	地址：福州市闽侯县南屿镇
福州树人贸易有限公司	总经理：郭桂兰	地址：福州市闽侯县上街镇建平村岐安花园
闽侯鑫源贸易有限公司	成立日期：2012/1/31	地址：福州市闽侯县青口镇吉山新村
尚美(福建)装饰材料有限公司	成立日期：2009/9/1	地址：福州市闽侯县铁岭二期
福州艾?食品有限公司	成立日期：2010/10/1	地址：中国.福建.闽侯县.南屿镇元峰村光华百特工业区1号楼
福州古木工艺品有限公司	总经理：郭树人	地址：福建省福州市闽侯县上街镇建平村
格格堡木制餐具股份有限公司	总经理：张清光	地址：福建省福州市闽侯县厚屿48号 格格堡木制餐具股份有限公司
闽侯东才贸易有限公司	总经理：李文官	地址：福州市闽侯县鸿尾乡官路村
福州泰盛集成家具有限公司	成立日期：2007/5/18	地址：福州闽侯县荆溪镇
闽侯县江口榕江纺织厂	厂长：曾碧朱	地址：中国 福建 闽侯县 闽侯县南屿镇江口村九石17
闽侯县巧工工艺品有限公司	成立日期：2013/5/1	地址：福建省福州市闽侯县建平巧工工艺馆 福建省福州市闽侯市上街建平根雕街
红杉根雕家具厂	厂长：卓传勇	地址：福建省闽侯县上街镇建平村
闽侯县金涛塑胶有限公司	总经理：郑卫	地址：福建省福州市闽侯县南屿镇高岐工业区
福建福特科光电股份有限公司	总经理：黄恒标	地址：福建福州市闽侯县铁岭工业集中区二期7号路8号
闽侯县阿斯顿家居用品有限公司	总经理：雷光彩	地址：闽侯县昙石新村2区15座
闽侯闽水缘运动休闲有限公司	总经理：郭香健	地址：闽侯县荆溪镇绿洲家园C区7041
闽侯联力机械有限公司	总经理：程飞	地址：闽侯县鸿尾乡政府三楼
福州中宝汽车租赁服务有限公司	总经理：郑绍强	地址：闽侯县上街镇厚美村（张秉生）住宅楼一层北向单元
福州鼎盛新型节能建材有限公司	总经理：叶国诚	地址：闽侯县竹岐乡榕东村
福建原动力汽车销售服务有限公司	总经理：王爱艺	地址：闽侯县南屿镇晓岐、元峰村
福建闽侯恒森林业发展有限公司	总经理：李塑龄	地址：闽侯县大湖乡雪峰村天洋13号
闽侯县畲山秀水农业综合开发有限公司	总经理：雷秀花	地址：闽侯县大湖乡六锦畲族村
闽侯县青口佳宝工贸有限公司	总经理：方钦达	地址：闽侯县青口投资区（正道汽车配件（福州）有限公司F栋）
闽侯县闽禾日用品咨询服务部	老板：魏信仙	地址：闽侯县甘蔗世纪芳洲1号乙座607
闽侯县甘蔗岩勘钻探劳务队	队长：林世江	地址：闽侯县甘蔗街道化龙村福龙巷4号
闽侯县大湖长文食用菌种植场	联系人：方长文	地址：闽侯县大湖乡东姚村帮山自然村
闽侯县大湖长久食用菌种植场	联系人：姚良久	地址：闽侯县大湖乡东姚村
闽侯县大湖融南养鳗场	联系人：张功琛	地址：闽侯县大湖乡双溪村下洋
福州中网电子商务有限公司	总经理：吴锦文	地址：福州市闽侯县铁岭工业区一期九号西路6号（福建胜基食品饮料有限公司内）
福州缘源缘商贸有限公司	总经理：林锦武	地址：闽侯县青口镇商贸中心街7#楼9号店
福州赢导电子商务有限公司	总经理：林媚	地址：闽侯县南通镇瓜山村瓜后坝头
福州五龙珊贸易有限公司	总经理：林建明	地址：闽侯县祥谦镇泮洋工业区
福州泰康汽车车厢制造有限公司	总经理：李志刚	地址：闽侯县尚干镇福厦路21公里处
福州盛源电机有限公司	总经理：林贵铃	地址：闽侯县南屿镇元峰村、流洲村（福州光华百特饲料有限公司）6#厂房二层
福州品众农业发展有限公司	总经理：叶雄	地址：闽侯县白沙镇上寨村村委会办公楼
福州君安汽车维修有限公司	总经理：金星建	地址：闽侯县荆溪镇徐家村301号
福州鸿宾贸易有限公司	总经理：洪斌	地址：闽侯县甘蔗街道山前后街3号三福花园1#104店面
福州成茂贸易有限公司	总经理：许坤茂	地址：闽侯县青口镇青口村
福建兆元光电有限公司	总经理：傅佩文	地址：福州市闽侯县南屿镇生物医药和机电产业园区（现住所：闽侯县南屿镇新联村6号）
福州市仓山五金工具厂闽侯县唐举分厂	厂长：严世光	地址：闽侯县白沙镇唐举村
闽侯县白沙生活方式花店	老板：王秀华	地址：闽侯县白沙镇新街47号
福州市古盛工艺制品有限公司	总经理：苏孔飞	地址：闽侯县鸿尾乡古洋村
福州裕龙工艺品有限公司	总经理：黄键	地址：闽侯县鸿尾乡石佛头街179号
闽侯县仙籁缘制衣厂	厂长：陈玉娜	地址：闽侯县南屿镇后山村旗山工业集中区【福州长征珠宝有限公司内1号楼2层】
闽侯县南屿镇徐军鞋店	老板：徐军	地址：闽侯县南屿镇南井村
闽侯县南屿魅力今生美容美体店	老板：张赛琴	地址：闽侯县南屿镇先施农贸市场面街7号
闽侯欣意包装制品有限公司	总经理：吴文杰	地址：闽侯县青口镇前洋工业区
闽侯永盛机械有限公司	总经理：吴世光	地址：闽侯县青口镇前洋工业区
闽侯县上街兴福化妆品店	老板：杨龚妹	地址：闽侯县上街镇国宾大道338号英泰第一城B区商住1#楼521单元
闽侯县闽川机械设备有限公司	总经理：何添喜	地址：闽侯县上街镇上街村
闽侯县上街华盛达鞋面加工厂	厂长：林鼎伟	地址：闽侯县上街镇新峰村杏山45号
闽侯县上街英泰麦田房产中介所	所长：张力军	地址：闽侯县上街镇英泰第一城商住楼K2幢126号
闽侯县上街晟兴药店	老板：陈宗密	地址：闽侯县上街镇源通东路59号尚书耕天下花园2#店面一层13-14
闽侯县上街雅竹化妆品经营部	老板：江少兰	地址：闽侯县上街镇源通东路59号尚书耕天下花园2#楼1003单元
福州市高森交通设施有限公司	总经理：郑家荣	地址：闽侯县祥谦镇枕峰村（福州常兴制冷设备有限公司内)
福建明冉服饰有限公司	总经理：黄香政	地址：闽侯县上街镇沙堤村
福州德源化工有限公司	总经理：芦江平	地址：闽侯县竹岐乡春风村
福州好利多农业开发有限公司	总经理：张胜忠	地址：闽侯县荆溪镇荆溪村
福州魅力频道服饰有限公司	总经理：庄华锋	地址：闽侯县南屿镇五都村
福州佩考林工业有限公司	总经理：高建新	地址：福州市闽侯县青口投资区祥谦镇辅翼村
福州青口水务有限公司	总经理：林一敏	地址：闽侯县祥谦镇凤港村
福州市闽侯福林纸业有限公司	总经理：桂绍林	地址：闽侯县荆溪镇溪下村溪下158号
福州市闽侯利达机械有限公司	总经理：邹秋娥	地址：闽侯县青口镇壶山村陶精路3号“千家花园”
福州市闽侯县敦睦贸易有限公司	总经理：张光煜	地址：福州市闽侯县青口镇宏一村
福州瓦尔节能电器有限公司	总经理：郑尔平	地址：闽侯县鸿尾乡桥头村
福州雄鑫机械技术工程有限公司	总经理：张竹雄	地址：闽侯县祥谦镇洋下村（福州宏业机械有限公司）1#楼
闽侯华润燃气有限公司	总经理：陆泓	地址：闽侯县甘蔗街道昙石山中大道118号新城丽景A区2号楼二层206#、207#店铺
闽侯县恒祥新型墙体材料厂	厂长：黄初平	地址：闽侯县青口镇青林村
闽侯县宏展电装有限公司	总经理：陈子山	地址：闽侯县祥谦镇虎山村龙井8号
闽侯县南屿雷鸣铝合金厂	厂长：张雷鸣	地址：闽侯县南屿镇后山村
闽侯县旺客来宾馆	联系人：肖书忠	地址：闽侯县甘蔗街道军民路12号
闽侯县协宏五金机电有限公司	总经理：陈晓琛	地址：闽侯县青口镇农光村新城路博雅星城
闽侯县源创医药科技有限公司	总经理：邓天力	地址：闽侯县尚干镇浦里村八斗新村46号
闽侯县天绿农家禽畜有限公司	总经理：方国辉	地址：闽侯县竹岐乡蒲洋村
闽侯县苏洋茉莉花专业合作社	联系人：金昌伙	地址：闽侯县竹岐乡苏洋村村委会
闽侯县双燕工艺品厂	厂长：陈燕华	地址：闽侯县甘蔗工业区
闽侯县清谋蔬果专业合作社	联系人：江清谋	地址：闽侯县南屿镇南井村
闽侯县闽建通讯工程有限公司	总经理：余广棋	地址：闽侯县甘蔗镇工业小区一区
闽侯县白沙唐举山农业综合开发有限公司	总经理：陈维汉	地址：闽侯县白沙镇唐举村兜整座
福州市泓晟农牧发展有限公司	总经理：余朝阳	地址：闽侯县洋里乡际兜村上元自然村1-12#厂房
福州福钢贸易有限公司	总经理：曾浚	地址：闽侯县荆溪杜坞火车站综合楼411室
福州方广达贸易有限公司	总经理：方左	地址：闽侯县荆溪杜坞火车站综合楼412室
福建信通卓越房地产有限公司	总经理：林旭	地址：福州市闽侯县南屿镇南井村新桥头（闽侯县南屿搬运站内）
福建省胜威物流有限公司	总经理：陈金刚	地址：闽侯县南通镇陈厝街东35号
福建省康祥贸易有限公司	总经理：陈孙寿	地址：闽侯县荆溪杜坞火车站综合楼410室
福建兆盈投资有限公司	成立日期：2011/8/24	地址：福州市闽侯县南通镇马腾村
福州市中景纺织有限公司	成立日期：2011/8/24	地址：福州市闽侯县南屿镇尧沙村浯江
福州赵记石材有限公司	成立日期：2011/8/23	地址：闽侯县白沙镇汤院村委
福州市闽侯建立复合材料有限公司	成立日期：2011/8/23	地址：闽侯县大湖乡珍山村
闽侯县翰霖彩印有限公司	成立日期：2011/8/23	地址：闽侯县甘蔗街道大元村陈店湖工业集中区9#2层
福州百利源贸易有限公司	成立日期：2011/8/23	地址：闽侯县甘蔗街道街心路32号首邑商业步行街A区1-5#楼03商业用房
福州邑都餐饮管理有限公司	成立日期：2011/8/23	地址：闽侯县甘蔗街道入城路319号东利楼三层
福建福旺木业有限公司	成立日期：2011/8/23	地址：闽侯县甘蔗街道昙石村龙岭
闽侯县天翊家电贸易有限公司	成立日期：2011/8/23	地址：闽侯县甘蔗街道蔗洲路212号
闽侯县横洋农场	成立日期：2011/8/23	地址：闽侯县甘蔗镇横屿村301号
福州市隆力达贸易有限公司	成立日期：2011/8/23	地址：闽侯县甘蔗镇五福村
福建惠好四海医药连锁有限责任公司荆溪卫院分店	成立日期：2011/8/23	地址：闽侯县荆溪关口366号
福州奥斯邦建材有限公司	成立日期：2011/8/23	地址：闽侯县荆溪镇港头村横岐
福州市闽侯达通汽配有限公司	成立日期：2011/8/23	地址：闽侯县荆溪镇关西村
福州顺森汽车配件有限公司	成立日期：2011/8/23	地址：闽侯县青口镇付竹村
福州天福居工艺品有限公司	成立日期：2011/8/23	地址：闽侯县青口镇红旗村新桥外（林步先）自用房整座
福州超宇钢材贸易有限公司	成立日期：2011/8/23	地址：闽侯县青口镇宏二村（闽侯宏丰纸业有限公司）房整座
闽侯县三晟贸易有限公司	成立日期：2011/8/23	地址：闽侯县青口镇青长路建设大厦底层
闽侯县顺发农业合作社	成立日期：2011/8/23	地址：闽侯县青口镇新城商贸街商住6#A303
福建省尚街根艺创意园有限公司	成立日期：2011/8/23	地址：闽侯县上街镇红峰村
福州市闽侯恒博工艺品有限公司	成立日期：2011/8/23	地址：闽侯县洋里乡林洋村林洋23号
福州再友贸易有限公司	成立日期：2011/8/17	地址：福州市闽侯县南通镇陈厝村海峡农副产品物流中心A区4201
福州茂基物业管理有限公司	成立日期：2011/8/17	地址：福州市闽侯县南屿镇旗山集中工业区8号办公楼
福建诚辉农业综合开发有限公司	成立日期：2011/8/16	地址：闽侯县大湖乡墙坪村桥下自然村
闽侯县美尔贸易有限公司	成立日期：2011/8/16	地址：闽侯县甘蔗镇三福小区一路12号
福州盛佳佳茶业有限公司	成立日期：2011/8/16	地址：闽侯县鸿尾乡奎石村牛头山58号
福建千飞建设有限公司	成立日期：2011/8/16	地址：闽侯县鸿尾乡桥头村
闽侯正安生鲜配送有限公司	成立日期：2011/8/16	地址：闽侯县南屿镇南旗村尾顶长盛楼201
福建工大科学技术开发总公司闽侯图书报刊经营部	成立日期：2011/8/16	地址：闽侯县上街镇福建工程学院学生公寓H2楼架空层第6间
福建华欣服装有限公司	总经理：林义利	地址：福建省闽侯县祥谦镇中
闽侯县南屿方敏服装店	老板：方敏	地址：福建省福州市闽侯县闽侯县南屿元峰村
福建省闽侯东南旅游开发有限公司	总经理：张依珠	地址：福建省闽侯县大湖乡梧桐里１号
福州市闽侯县云堡寨旅游开发有限公司	总经理：陈昭强	地址：福建省福州市闽侯县白沙镇林炳村
福建裕达投资有限公司	总经理：邱燕芳	地址：福建省闽侯县青口投资区青口镇船尾村
福建证大予捷矿业投资有限公司	总经理：胡毅	地址：福建省福州市闽侯县大湖乡大湖街５号
福建耀华房地产开发有限公司	总经理：吴增基	地址：闽侯县青口镇青长路建设大厦第四层
福建联丰房地产开发有限公司	总经理：何建华	地址：福建省闽侯县上街英泰第一城商住楼Ｋ－１２９＃１３０＃
福建省闽侯县嘉德房地产开发有限公司	总经理：吴庸	地址：福建省福州市闽侯县荆溪镇港头村
闽侯县昙石山博物馆配套项目和省艺术高等职业学院建设指挥部	老板：张大斌	地址：福建省福州市闽侯县甘蔗镇政府内
院埕公路建设指挥部	老板：余福杨	地址：福建省福州市闽侯县白沙镇院埕村
中国建设银行股份有限公司福州东南汽车城支行	联系人：林榕琦	地址：福建省福州市闽侯县青口镇工贸商住楼
福建省友诚建筑工程有限公司	总经理：林游承	地址：闽侯县荆溪镇荆溪村
福州瀚思远见建筑设计有限公司	总经理：杨洪	地址：闽侯县上街镇新峰村上街商贸中心八号楼04房
福州金嘉利建筑金属配件有限公司	总经理：林国良	地址：福建省福州市闽侯县尚干镇天达电子公司内
福建源素建材有限公司	总经理：王琼	地址：闽侯县南屿镇窗厦村
闽侯县鑫山新型保温建材有限公司	总经理：陈国辉	地址：福建省闽侯县荆溪镇光明村
闽侯县闽港建材有限公司	总经理：林宝国	地址：福建省闽侯县荆溪镇关西村村委会
福州利浩建材有限公司	总经理：黄霞	地址：福建省闽侯县祥谦镇辅翼村
闽侯县华翔建材贸易有限公司	总经理：潘福比	地址：福建省福州市闽侯县甘蔗镇县城新区（甘蔗世纪芳洲１号楼１０５室）
福州祥顺新型建材有限公司	总经理：江祥华	地址：福建省福州市闽侯县白沙镇上寨村
闽侯县金祥建材经营部	老板：洪秀萍	地址：福建省福州市闽侯县甘蔗镇坛石村
闽侯县艾森广告策划部	老板：叶风华	地址：福建省福州市闽侯县甘蔗镇入城路新华书店综合楼３０１号
福建省闽侯华亿纺织工贸有限公司	总经理：宋建伟	地址：福建省福州市闽侯县南屿镇旗山工业集中区
闽侯县明鑫工贸有限公司	总经理：马新明	地址：福建省福州市闽侯县白沙镇汶溪村
闽侯县金全丰工贸有限公司	总经理：林金水	地址：福建省福州市闽侯县青口镇吉山新村Ｃ幢１１号
福建省闽侯县艺丰工艺品有限公司	总经理：林伟义	地址：闽侯县竹岐乡春风村
福建省闽侯兆丰工艺品有限公司	总经理：林光禹	地址：闽侯县荆溪镇永丰工业小区
闽侯国盛工艺品公司	总经理：胡晶晶	地址：福建省闽侯县横屿376
闽侯县福诚工艺品厂	厂长：程道利	地址：福建省闽侯县甘蔗陈店湖工业区
闽侯县闽涛工艺品加工厂	厂长：江阳涛	地址：福建省闽侯县白沙镇下浦路５３号
